"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"collaborateur de notaire / collaboratrice de notaire";http://www.onisep.fr/http/redirection/metier/slug/MET.168;"Les métiers du droit";Parcours;2020;9782273015202;"GFE W : droit, enseignement, recherche et sciences humaines";K1902;"Collaboration juridique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1902;"économie - droit - politique/droit privé"
"commercial / commerciale à bord des trains";http://www.onisep.fr/http/redirection/metier/slug/MET.186;"Les métiers du transport et de la logistique";Parcours;2019;9782273014533;"GFE O : transport, logistique";N4302;"Contrôle des transports en commun";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4302;"armée, sécurité/sécurité prévention"
"commissaire-priseur / commissaire-priseuse";http://www.onisep.fr/http/redirection/metier/slug/MET.673;"Les métiers du droit";Parcours;2020;9782273015202;"GFE V : arts, spectacle, audiovisuel";K1901;"Aide et médiation judiciaire";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901;"arts, culture, artisanat/commerce de l'art| économie - droit - politique/droit (généralités)| économie - droit - politique/droit privé"
"community manager";http://www.onisep.fr/http/redirection/metier/slug/MET.93;"Les métiers de la Grande Ecole du Numérique";"Zoom sur les métiers";2019;9782273014854;"GFE U : communication, médias";E1101;"Animation de site multimédia";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1101;"information-communication, audiovisuel/communication| commerce, marketing, vente/marketing - vente"
"concepteur / conceptrice de niveaux de jeu web";http://www.onisep.fr/http/redirection/metier/slug/MET.823;"Les métiers du jeu vidéo";Parcours;2019;9782273014502;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia"
"concepteur-rédacteur / conceptrice-rédactrice";http://www.onisep.fr/http/redirection/metier/slug/MET.316;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"information-communication, audiovisuel/journalisme - édition - publicité"
"conducteur / conductrice d'engins forestiers de récolte en entreprises de travaux forestiers";http://www.onisep.fr/http/redirection/metier/slug/MET.741;"Les métiers de la forêt et du bois";"Zoom sur les métiers";2017;9782273013635;"GFE A : agriculture";A1101;"Conduite d'engins agricoles et forestiers";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1101;"agriculture, animaux/forêt"
"conducteur / conductrice de ligne de production alimentaire";http://www.onisep.fr/http/redirection/metier/slug/MET.549;"Les métiers de l'agroalimentaire";Parcours;2019;9782273014557;"GFE K : production alimentaire";H2102;"Conduite d'équipement de production alimentaire";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2102;"matières premières, fabrication, industries/agroalimentaire| mécanique/automatismes"
"conducteur / conductrice de machine à imprimer";http://www.onisep.fr/http/redirection/metier/slug/MET.274;"Les métiers du livre";Parcours;2021;9782273015851;"GFE N : techniques graphiques, impression";E1301;"Conduite de machines d'impression";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1301;"mécanique/automatismes| matières premières, fabrication, industries/fabrication - productique| information-communication, audiovisuel/industries graphiques"
"conducteur / conductrice de machines agricoles";http://www.onisep.fr/http/redirection/metier/slug/MET.287;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE A : agriculture";A1101;"Conduite d'engins agricoles et forestiers";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1101;"mécanique/machinisme agricole"
"conducteur / conductrice de train";http://www.onisep.fr/http/redirection/metier/slug/MET.154;"Les métiers du transport et de la logistique";Parcours;2019;9782273014533;"GFE O : transport, logistique";N4301;"Conduite sur rails";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4301;"logistique - transport/transport"
"conducteur / conductrice de travaux";http://www.onisep.fr/http/redirection/metier/slug/MET.26;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE C : bâtiment";F1201;"Conduite de travaux du BTP et de travaux paysagers";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1201;"construction - architecture - travaux publics/génie civil, construction (généralités)"
"conducteur routier / conductrice routière";http://www.onisep.fr/http/redirection/metier/slug/MET.679;"Les métiers du transport routier et de la logistique";"Zoom sur les métiers";2018;9782273013659;"GFE O : transport, logistique";N4101;"Conduite de transport de marchandises sur longue distance";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4101;"logistique - transport/transport"
"conseiller / conseillère d'élevage";http://www.onisep.fr/http/redirection/metier/slug/MET.234;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1301;"Conseil et assistance technique en agriculture";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1301;"agriculture, animaux/développement agricole| agriculture, animaux/élevage - aquaculture"
"conseiller / conseillère en fusions-acquisitions";http://www.onisep.fr/http/redirection/metier/slug/MET.101;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";M1201;"Analyse et ingénierie financière";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1201;"banque - assurances - immobilier/finances"
"conseiller / conseillère en séjour";http://www.onisep.fr/http/redirection/metier/slug/MET.451;"Les métiers du tourisme";Parcours;2019;9782273014526;"GFE S : hôtellerie,  tourisme, loisirs";G1101;"Accueil touristique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1101;"lettres, langues - enseignement/langues| hôtellerie - restauration - tourisme/tourisme"
"conseiller / conseillère pénitentiaire d'insertion et de probation";http://www.onisep.fr/http/redirection/metier/slug/MET.712;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1207;"Intervention socioéducative";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1207;"santé - social - sport/travail social"
"conservateur / conservatrice du patrimoine";http://www.onisep.fr/http/redirection/metier/slug/MET.692;"Les métiers de la culture et du patrimoine";Parcours;2018;9782273013338;"GFE V : arts, spectacle, audiovisuel";K1602;"Gestion de patrimoine culturel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1602;"arts, culture, artisanat/activités culturelles| information-communication, audiovisuel/bibliothèque - documentation| histoire-géographie, psychologie, sociologie/histoire| arts, culture, artisanat/histoire de l'art"
"consultant / consultante en conduite de changement";http://www.onisep.fr/http/redirection/metier/slug/MET.624;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1402;"Conseil en organisation et management d'entreprise";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1402;"sciences/biologie| sciences/chimie| informatique, internet/informatique (généralités)| gestion des entreprises, comptabilité/ressources humaines| économie - droit - politique/sciences économiques"
"consultant / consultante en solutions intégrées";http://www.onisep.fr/http/redirection/metier/slug/MET.599;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1806;"Conseil et maîtrise d'ouvrage en systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1806;"électricité - électronique - robotique/électronique| informatique, internet/informatique (généralités)| électricité - électronique - robotique/télécommunications"
"consultant / consultante green IT";http://www.onisep.fr/http/redirection/metier/slug/MET.945;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1402;"Conseil en organisation et management d'entreprise";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1402;"environnement - énergies - propreté/environnement (généralités)| informatique, internet/informatique (généralités)"
"consultant / consultante informatique";http://www.onisep.fr/http/redirection/metier/slug/MET.622;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1806;"Conseil et maîtrise d'ouvrage en systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1806;"informatique, internet/informatique (généralités)"
contremaître;http://www.onisep.fr/http/redirection/metier/slug/MET.58;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1401;"Management et ingénierie gestion industrielle et logistique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1401;"matières premières, fabrication, industries/fabrication - productique| logistique - transport/logistique| mécanique/mécanique (généralités)| matières premières, fabrication, industries/méthodes industrialisation"
"contrôleur / contrôleuse de performance";http://www.onisep.fr/http/redirection/metier/slug/MET.865;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1302;"Contrôle et diagnostic technique en agriculture";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1302;"agriculture, animaux/élevage - aquaculture"
"coordonnateur / coordonnatrice d'études cliniques";http://www.onisep.fr/http/redirection/metier/slug/MET.827;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"sciences/biologie| santé - social - sport/santé (généralités)"
"correcteur / correctrice";http://www.onisep.fr/http/redirection/metier/slug/MET.331;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1305;"Préparation et correction en édition et presse";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1305;"information-communication, audiovisuel/industries graphiques| information-communication, audiovisuel/journalisme - édition - publicité"
"couvreur / couvreuse";http://www.onisep.fr/http/redirection/metier/slug/MET.263;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE C : bâtiment";F1610;"Pose et restauration de couvertures";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1610;"construction - architecture - travaux publics/charpente, couverture| construction - architecture - travaux publics/génie civil, construction (généralités)"
cryptologue;http://www.onisep.fr/http/redirection/metier/slug/MET.720;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";;;;"informatique, internet/systèmes et réseaux"
"data manager";http://www.onisep.fr/http/redirection/metier/slug/MET.613;"Les métiers des mathématiques et de l'informatique";"Zoom sur les métiers";2015;9782273012652;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"informatique, internet/informatique (généralités)| sciences/mathématiques"
"data manager";http://www.onisep.fr/http/redirection/metier/slug/MET.613;"Mathématiques, statistique et informatique";"Zoom sur les métiers";2021;9782273015547;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"informatique, internet/informatique (généralités)| sciences/mathématiques"
"déclarant / déclarante en douane";http://www.onisep.fr/http/redirection/metier/slug/MET.545;"Les métiers du transport routier et de la logistique";"Zoom sur les métiers";2018;9782273013659;"GFE O : transport, logistique";N1202;"Gestion des opérations de circulation internationale des marchandises";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1202;"logistique - transport/transport"
"décolleteur / décolleteuse";http://www.onisep.fr/http/redirection/metier/slug/MET.595;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";H2903;"Conduite d'équipement d'usinage";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2903;"mécanique/mécanique (généralités)"
"déménageur / déménageuse";http://www.onisep.fr/http/redirection/metier/slug/MET.546;"Les métiers du transport et de la logistique";Parcours;2019;9782273014533;"GFE O : transport, logistique";N1102;Déménagement;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1102;"logistique - transport/logistique| logistique - transport/transport"
"designer graphique";http://www.onisep.fr/http/redirection/metier/slug/MET.5;"Les métiers du jeu vidéo";Parcours;2019;9782273014502;"GFE N : techniques graphiques, impression";E1205;"Réalisation de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/industries graphiques"
"designer graphique";http://www.onisep.fr/http/redirection/metier/slug/MET.5;"Les métiers de la Grande Ecole du Numérique";"Zoom sur les métiers";2019;9782273014854;"GFE N : techniques graphiques, impression";E1205;"Réalisation de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/industries graphiques"
"designer sonore";http://www.onisep.fr/http/redirection/metier/slug/MET.621;"Les métiers du jeu vidéo";Parcours;2019;9782273014502;"GFE V : arts, spectacle, audiovisuel";L1507;"Montage audiovisuel et post-production";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1507;"information-communication, audiovisuel/audiovisuel"
"développeur / développeuse d'applications mobiles";http://www.onisep.fr/http/redirection/metier/slug/MET.503;"Les métiers du jeu vidéo";Parcours;2019;9782273014502;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1805;"informatique, internet/développement - programmation -  logiciel"
"développeur / développeuse informatique";http://www.onisep.fr/http/redirection/metier/slug/MET.12;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1805;"informatique, internet/développement - programmation -  logiciel"
"diététicien / diététicienne";http://www.onisep.fr/http/redirection/metier/slug/MET.672;"Les métiers du paramédical";Parcours;2017;9782273013314;"GFE R : santé, social, soins personnels";J1402;Diététique;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1402;"santé - social - sport/paramédical"
"directeur / directrice artistique";http://www.onisep.fr/http/redirection/metier/slug/MET.537;"Les métiers du livre";Parcours;2021;9782273015851;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/journalisme - édition - publicité"
"directeur / directrice d'hôpital";http://www.onisep.fr/http/redirection/metier/slug/MET.688;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";K1403;"Management de structure de santé, sociale ou pénitentiaire";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1403;"gestion des entreprises, comptabilité/administration de l'entreprise| gestion des entreprises, comptabilité/ressources humaines| économie - droit - politique/sciences économiques"
"directeur / directrice de golf";http://www.onisep.fr/http/redirection/metier/slug/MET.464;"Les métiers du sport";Parcours;2021;9782273015875;"GFE S : hôtellerie,  tourisme, loisirs";G1403;"Gestion de structure de loisirs ou d'hébergement touristique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1403;"santé - social - sport/sport"
"directeur / directrice de restaurant";http://www.onisep.fr/http/redirection/metier/slug/MET.144;"Les métiers de l'élevage et de l'alimentation";"Zoom sur les métiers";2021;9782273015523;"GFE S : hôtellerie,  tourisme, loisirs";G1402;"Management d'hôtel-restaurant";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1402;"gestion des entreprises, comptabilité/administration de l'entreprise| hôtellerie - restauration - tourisme/hôtellerie| hôtellerie - restauration - tourisme/restauration| hôtellerie - restauration - tourisme/tourisme"
documentaliste;http://www.onisep.fr/http/redirection/metier/slug/MET.172;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K1601;"Gestion de l'information et de la documentation";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601;"information-communication, audiovisuel/bibliothèque - documentation| information-communication, audiovisuel/technologies de l'information"
éclairagiste;http://www.onisep.fr/http/redirection/metier/slug/MET.307;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";L1504;"Éclairage spectacle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1504;"arts, culture, artisanat/arts du spectacle"
"économiste de la construction";http://www.onisep.fr/http/redirection/metier/slug/MET.275;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE C : bâtiment";F1108;"Métré de la construction";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1108;"construction - architecture - travaux publics/bureau d'études BTP| construction - architecture - travaux publics/génie civil, construction (généralités)"
"éducateur / éducatrice de jeunes enfants";http://www.onisep.fr/http/redirection/metier/slug/MET.668;"Les métiers du social";Parcours;2019;9782273014571;"GFE R : santé, social, soins personnels";K1202;"Éducation de jeunes enfants";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1202;"santé - social - sport/travail social"
"éducateur / éducatrice de la protection judiciaire de la jeunesse";http://www.onisep.fr/http/redirection/metier/slug/MET.924;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE R : santé, social, soins personnels";K1207;"Intervention socioéducative";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1207;"santé - social - sport/travail social"
"éducateur sportif / éducatrice sportive";http://www.onisep.fr/http/redirection/metier/slug/MET.783;"Les métiers auprès des enfants";Parcours;2020;9782273015189;"GFE S : hôtellerie,  tourisme, loisirs";G1204;"Éducation en activités sportives";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204;"santé - social - sport/sport"
"élagueur / élagueuse";http://www.onisep.fr/http/redirection/metier/slug/MET.900;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1201;"Bûcheronnage et élagage";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1201;"environnement - énergies - propreté/aménagement paysager"
"électronicien / électronicienne automobile";http://www.onisep.fr/http/redirection/metier/slug/MET.404;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE H : électricité, énergie, électronique";I1604;"Mécanique automobile et entretien de véhicules";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1604;"mécanique/automobile| électricité - électronique - robotique/électronique"
"employé / employée d'élevage";http://www.onisep.fr/http/redirection/metier/slug/MET.250;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1407;"Élevage bovin ou équin";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1407;"agriculture, animaux/élevage - aquaculture"
"employé / employée de restaurant";http://www.onisep.fr/http/redirection/metier/slug/MET.655;"Les métiers de l'hôtellerie et de la restauration";Parcours;2018;9782273013895;"GFE S : hôtellerie,  tourisme, loisirs";G1803;"Service en restauration";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1803;"hôtellerie - restauration - tourisme/restauration"
"encadreur / encadreuse";http://www.onisep.fr/http/redirection/metier/slug/MET.63;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";H2208;"Réalisation d'ouvrages décoratifs en bois";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2208;"arts, culture, artisanat/artisanat d'art"
"enquêteur privé / enquêtrice privée";http://www.onisep.fr/http/redirection/metier/slug/MET.817;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE T : environnement, nettoyage, sécurité";K2502;"Management de sécurité privée";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2502;"armée, sécurité/sécurité prévention"
"enseignant / enseignante humanitaire";http://www.onisep.fr/http/redirection/metier/slug/MET.220;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";K2106;"Enseignement des écoles";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2106;"lettres, langues - enseignement/enseignement| lettres, langues - enseignement/langues"
"entraîneur sportif / entraîneuse sportive";http://www.onisep.fr/http/redirection/metier/slug/MET.481;"Les métiers du sport";Parcours;2021;9782273015875;"GFE S : hôtellerie,  tourisme, loisirs";G1204;"Éducation en activités sportives";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204;"santé - social - sport/sport"
étalagiste;http://www.onisep.fr/http/redirection/metier/slug/MET.308;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";B1301;"Décoration d'espaces de vente et d'exposition";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1301;"commerce, marketing, vente/grande distribution et petits commerces"
"expert / experte en assurances";http://www.onisep.fr/http/redirection/metier/slug/MET.329;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";C1106;"Expertise risques en assurances";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1106;"banque - assurances - immobilier/assurances"
"expert-comptable / experte-comptable";http://www.onisep.fr/http/redirection/metier/slug/MET.149;"Les métiers de la gestion, de la comptabilité et des ressources humaines";Parcours;2021;9782273015769;"GFE Q : commerce, gestion, finances";M1202;"Audit et contrôle comptables et financiers";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1202;"gestion des entreprises, comptabilité/comptabilité"
"ferronnier / ferronnière d'art";http://www.onisep.fr/http/redirection/metier/slug/MET.781;;"pas de publication Onisep spécifique";;;"GFE E : travail des métaux";B1601;"Métallerie d'art";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1601;"arts, culture, artisanat/artisanat d'art"
"formateur / formatrice en informatique";http://www.onisep.fr/http/redirection/metier/slug/MET.593;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K2111;"Formation professionnelle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2111;"lettres, langues - enseignement/enseignement| informatique, internet/informatique (généralités)"
"fromager / fromagère";http://www.onisep.fr/http/redirection/metier/slug/MET.510;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE K : production alimentaire";A1412;"Fabrication et affinage de fromages";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1412;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"garde (chasse, pêche, littoral, rivière, parcs nationaux)";http://www.onisep.fr/http/redirection/metier/slug/MET.71;"Les métiers auprès des animaux";Parcours;2019;9782273014588;"GFE T : environnement, nettoyage, sécurité";A1204;"Protection du patrimoine naturel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1204;"environnement - énergies - propreté/déchets, pollutions et risques| environnement - énergies - propreté/protection des espaces naturels"
gendarme;http://www.onisep.fr/http/redirection/metier/slug/MET.313;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K1706;"Sécurité publique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1706;"armée, sécurité/sécurité prévention"
généalogiste;http://www.onisep.fr/http/redirection/metier/slug/MET.742;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";;;;"économie - droit - politique/droit (généralités)| histoire-géographie, psychologie, sociologie/histoire"
géologue;http://www.onisep.fr/http/redirection/metier/slug/MET.570;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";F1105;"Études géologiques";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;"environnement - énergies - propreté/déchets, pollutions et risques| environnement - énergies - propreté/énergies| sciences/sciences de la Terre"
"géomaticien / géomaticienne";http://www.onisep.fr/http/redirection/metier/slug/MET.192;"Mathématiques, statistique et informatique";"Zoom sur les métiers";2021;9782273015547;"GFE T : environnement, nettoyage, sécurité";M1808;"Information géographique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1808;"environnement - énergies - propreté/aménagement du territoire| histoire-géographie, psychologie, sociologie/géographie| sciences/sciences de la Terre"
"géotechnicien / géotechnicienne";http://www.onisep.fr/http/redirection/metier/slug/MET.709;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";F1105;"Études géologiques";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;"sciences/sciences de la Terre"
"gérant / gérante de restauration collective";http://www.onisep.fr/http/redirection/metier/slug/MET.283;"Les métiers de l'élevage et de l'alimentation";"Zoom sur les métiers";2021;9782273015523;"GFE S : hôtellerie,  tourisme, loisirs";G1404;"Management d'établissement de restauration collective";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1404;"hôtellerie - restauration - tourisme/hôtellerie| hôtellerie - restauration - tourisme/restauration"
"gestionnaire de parc micro-informatique";http://www.onisep.fr/http/redirection/metier/slug/MET.15;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1810;"Production et exploitation de systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1810;"informatique, internet/informatique (généralités)| informatique, internet/systèmes et réseaux"
gouvernante;http://www.onisep.fr/http/redirection/metier/slug/MET.40;"Les métiers de l'hôtellerie et de la restauration";Parcours;2018;9782273013895;"GFE S : hôtellerie,  tourisme, loisirs";G1503;"Management du personnel d'étage";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1503;"hôtellerie - restauration - tourisme/hôtellerie| environnement - énergies - propreté/propreté"
"guide de haute montagne";http://www.onisep.fr/http/redirection/metier/slug/MET.918;"Les métiers du sport";Parcours;2021;9782273015875;"GFE S : hôtellerie,  tourisme, loisirs";G1201;"Accompagnement de voyages, d'activités culturelles ou sportives";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1201;"santé - social - sport/sport| hôtellerie - restauration - tourisme/tourisme"
histologiste;http://www.onisep.fr/http/redirection/metier/slug/MET.702;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1201;"Biologie médicale";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1201;sciences/biologie
"hot liner";http://www.onisep.fr/http/redirection/metier/slug/MET.799;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";I1401;"Maintenance informatique et bureautique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1401;"informatique, internet/informatique (généralités)"
"hôte / hôtesse d'accueil";http://www.onisep.fr/http/redirection/metier/slug/MET.285;"Les métiers du tourisme";Parcours;2019;9782273014526;"GFE S : hôtellerie,  tourisme, loisirs";M1601;"Accueil et renseignements";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1601;"hôtellerie - restauration - tourisme/hôtellerie| gestion des entreprises, comptabilité/secrétariat"
"hydraulicien / hydraulicienne";http://www.onisep.fr/http/redirection/metier/slug/MET.908;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";;;;"construction - architecture - travaux publics/génie civil| sciences/physique| sciences/sciences de la Terre"
